"id";"name";"location_id";"description";"details";"note";"product_value";"ipratico_category_id";"ipratico_id";"created_at";"updated_at";"prenotare";"api"
"9";"Villa Crespi - Menù Degustazione Itinerario per Una persona";"2";"Questo buono regalo è valido per Menù Degustazione Itinerario destinato a una persona al ristorante tre stelle Michelin dello Chef Antonino Cannavacciuolo.";"Menù degustazione accompagnato da calice di aperitivo, degustazione vini, minerali e caffetteria.";"Si accettano prenotazioni esclusivamente per il servizio del pranzo di mercoledì, giovedì e venerdì esclusi i giorni festivi.";"485";"NULL";"NULL";"2024-03-01 14:15:28";"2024-03-30 11:12:55";"Per prenotazioni scrivere una mail a ristorante@villacrespi.it oppure telefonare al 00390322911902, indicando il possesso del buono. Eventuali extra non inclusi nella dicitura sono da saldare in loco.";"ipratico"
"10";"Villa Crespi - Menù Degustazione Mettici l'anima per Una persona";"2";"Questo buono regalo è valido per Menù Degustazione Mettici l'anima destinato a una persona al ristorante tre stelle Michelin dello Chef Antonino Cannavacciuolo.";"Menù degustazione accompagnato da calice di aperitivo, degustazione vini, minerali e caffetteria.";"Si accettano prenotazioni esclusivamente per il servizio del pranzo di mercoledì, giovedì e venerdì esclusi i giorni festivi.";"535";"NULL";"NULL";"2024-03-20 15:04:17";"2024-03-30 11:13:05";"Per prenotazioni scrivere una mail a ristorante@villacrespi.it oppure telefonare al 00390322911902, indicando il possesso del buono. Eventuali extra non inclusi nella dicitura sono da saldare in loco.";"ipratico"
"11";"Villa Crespi - Esperienza in cucina con la brigata destinato a una persona";"2";"Questo buono regalo è valido per l'esperienza di cucina con la brigata dello Chef Antonino Cannavacciuolo, tre stelle Michelin, destinato a una persona.";"Esperienza nella cucina di Antonino Cannavacciuolo dalle 9:30 alle 11:30 con la sua brigata.";"Si accettano prenotazioni esclusivamente di mercoledì, giovedì e venerdì esclusi i giorni festivi.";"380";"NULL";"NULL";"2024-03-21 09:29:46";"2024-03-30 11:13:14";"Per prenotazioni scrivere una mail a ristorante@villacrespi.it oppure telefonare al 00390322911902, indicando il possesso del buono. Eventuali extra non inclusi nella dicitura sono da saldare in loco.";"ipratico"
"13";"Villa Crespi - Io e te, tra benessere e gusto per Due persone";"2";"Questo buono regalo è valido per l’esperienza in cucina con la brigata di Antonino Cannavacciuolo, tre stelle Michelin, destinato a una persona & un percorso benessere nella Wellness Suite di Villa Crespi destinato alla persona che ti accompagna.";"Esperienza nella cucina tre stelle Michelin, dalle 9:30 alle 11:30 con la brigata dello Chef Antonino Cannavacciuolo mentre la persona che vi accompagna sarà coccolata da un percorso Benessere.";"Si accettano prenotazioni esclusivamente per il servizio dal giovedì alla domenica, esclusi i giorni festivi.";"580";"NULL";"NULL";"2024-03-21 11:16:42";"2024-03-30 11:13:21";"Per prenotazioni scrivere una mail a ristorante@villacrespi.it oppure telefonare al 00390322911902, indicando il possesso del buono. Eventuali extra non inclusi nella dicitura sono da saldare in loco.";"ipratico"
"14";"Villa Crespi – Soggiorno Fuga romantica sul lago no bevande in settimana camera doppia";"2";"Questo buono regalo è valido per il soggiorno Fuga romantica sul lago di una notte con cena nel ristorante tre stelle Michelin dello Chef Antonino Cannavacciuolo.";"- Una notte in una delle nostre camere doppie
- Colazione a buffet servita direttamente al ristorante
- Una cena per due persone con menu degustazione Itinerario (bevande non incluse) presso il ristorante 3 stelle Michelin dello Chef Antonino Cannavacciuolo";"Il buono regalo è utilizzabile esclusivamente il mercoledì o il giovedì, esclusi i giorni festivi e pre-festivi.";"1359";"NULL";"NULL";"2024-03-30 10:42:51";"2024-03-30 11:13:30";"Per prenotazioni scrivere una mail a booking@villacrespi.it oppure telefonare al 00390322911902, indicando il possesso del buono. Eventuali extra non inclusi nella dicitura sono da saldare in loco.";"slope"
"15";"Villa Crespi – Soggiorno Fuga romantica sul lago con bevande in settimana camera doppia";"2";"Questo buono regalo è valido per il soggiorno Fuga romantica sul lago di una notte con cena nel ristorante tre stelle Michelin dello Chef Antonino Cannavacciuolo";"- Una notte in una delle nostre camere doppie
- Colazione a buffet servita direttamente al ristorante
- Una cena per due persone con menu degustazione Itinerario con calice di aperitivo, degustazione vini, minerali e caffetteria presso il ristorante 3 stelle Michelin dello Chef Antonino Cannavacciuolo";"Il buono regalo è utilizzabile esclusivamente il mercoledì o il giovedì, esclusi i giorni festivi e pre-festivi.";"1769";"NULL";"NULL";"2024-03-30 10:44:37";"2024-03-30 11:13:36";"Per prenotazioni scrivere una mail a booking@villacrespi.it oppure telefonare al 00390322911902, indicando il possesso del buono. Eventuali extra non inclusi nella dicitura sono da saldare in loco.";"slope"
"16";"Villa Crespi – Soggiorno Fuga romantica sul lago no bevande in settimana Suite";"2";"Questo buono regalo è valido per il soggiorno Fuga romantica sul lago di una notte con cena nel ristorante tre stelle Michelin dello Chef Antonino Cannavacciuolo.";"- Una notte in una delle nostre Suite
- Colazione a buffet servita direttamente al ristorante
- Una cena per due persone con menu degustazione Itinerario (bevande non incluse) presso il ristorante 3 stelle Michelin dello Chef Antonino Cannavacciuolo";"Il buono regalo è utilizzabile esclusivamente il mercoledì o il giovedì, esclusi i giorni festivi e pre-festivi.";"1869";"NULL";"NULL";"2024-03-30 10:46:36";"2024-03-30 11:13:47";"Per prenotazioni scrivere una mail a booking@villacrespi.it oppure telefonare al 00390322911902, indicando il possesso del buono. Eventuali extra non inclusi nella dicitura sono da saldare in loco.";"slope"
"17";"Villa Crespi – Soggiorno Fuga romantica sul lago con bevande in settimana Suite";"2";"Questo buono regalo è valido per il soggiorno Fuga romantica sul lago di una notte con cena nel ristorante tre stelle Michelin dello Chef Antonino Cannavacciuolo.";"- Una notte in una delle nostre Suite
- Colazione a buffet servita direttamente al ristorante
- Una cena per due persone con menu degustazione Itinerario con calice di aperitivo, degustazione vini, minerali e caffetteria presso il ristorante 3 stelle Michelin dello Chef Antonino Cannavacciuolo";"Il buono regalo è utilizzabile esclusivamente il mercoledì o il giovedì, esclusi i giorni festivi e pre-festivi.";"2279";"NULL";"NULL";"2024-03-30 10:47:35";"2024-03-30 11:13:57";"Per prenotazioni scrivere una mail a booking@villacrespi.it oppure telefonare al 00390322911902, indicando il possesso del buono. Eventuali extra non inclusi nella dicitura sono da saldare in loco.";"slope"
"18";"Villa Crespi – Soggiorno Gourmet con gusto 1 notte in settimana in camera doppia";"2";"Questo buono regalo è valido per il soggiorno Gourmet con gusto di una notte in settimana con cena nel ristorante tre stelle Michelin dello Chef Antonino Cannavacciuolo.";"- 1 notte in una delle nostre camere 
- Colazione a buffet servita direttamente al ristorante
- Una Cena per due persone con menu degustazione Mettici l’anima con calice di aperitivo, abbinamento vini, minerali e caffetteria presso il ristorante 3 stelle Michelin dello Chef Antonino Cannavacciuolo
- Welcome in camera con bottiglia di spumante, frutta fresca e piccola pasticciera";"Il buono regalo è utilizzabile esclusivamente il mercoledì o il giovedì, esclusi i giorni festivi e pre-festivi.";"1969";"NULL";"NULL";"2024-03-30 10:50:49";"2024-03-30 11:14:04";"Per prenotazioni scrivere una mail a booking@villacrespi.it oppure telefonare al 00390322911902, indicando il possesso del buono. Eventuali extra non inclusi nella dicitura sono da saldare in loco.";"slope"
"19";"Villa Crespi – Soggiorno Gourmet con gusto 1 notte in settimana in suite";"2";"Questo buono regalo è valido per il soggiorno Gourmet con gusto di una notte in settimana con cena nel ristorante tre stelle Michelin dello Chef Antonino Cannavacciuolo.";"- 1 notte in una delle nostre Suite
- Colazione a buffet servita direttamente al ristorante
- Una Cena per due persone con menu degustazione Mettici l’anima con calice di aperitivo, abbinamento vini, minerali e caffetteria presso il ristorante 3 stelle Michelin dello Chef Antonino Cannavacciuolo
- Welcome in camera con bottiglia di spumante, frutta fresca e piccola pasticciera";"Il buono regalo è utilizzabile esclusivamente il mercoledì o il giovedì, esclusi i giorni festivi e pre-festivi.";"2479";"NULL";"NULL";"2024-03-30 10:52:48";"2024-03-30 11:14:36";"Per prenotazioni scrivere una mail a booking@villacrespi.it oppure telefonare al 00390322911902, indicando il possesso del buono. Eventuali extra non inclusi nella dicitura sono da saldare in loco.";"slope"
